"genres","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","Rock","Rap/Hip hop","Pop","Eletronic/Dance","Latin","Indie","Classical","Country","Metal","Blues","Soul","Jazz","Other","Punk","year"
"Blues",0.5067308944329494,0.564440184356419,0.03718441165108524,0.4902645785641946,0.09840484509605894,0.18754120977509162,0.7824068080979909,0.06749165364836684,0.49772479586009727,0.5931885360793838,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8059595234457788
"Classical",0.906648109753284,0.3281600340727749,0.048005892448832646,0.158788834067815,0.6193869663582372,0.15533133062857668,0.5758958032951501,0.053768745436047156,0.4230143458399682,0.23337030242599588,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8059595234457788
"Country",0.47884893074631274,0.5940833243774085,0.03314883772594661,0.5216246141018775,0.06187980565357097,0.19323181949329926,0.799419138735602,0.06020279137789596,0.4901248324633224,0.5738910934016328,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8059595234457788
"Eletronic/Dance",0.15298396723348992,0.6855387772243476,0.04620608205998168,0.6780361521164132,0.2632540379974583,0.20092046876995148,0.8272306707937871,0.09430237687054999,0.5023895435817658,0.5211575967946798,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8059595234457788
"Indie",0.3006931147361529,0.561131522070447,0.03892034800470499,0.6131295876310396,0.13875298826188162,0.17876504128572548,0.8261331818865743,0.06370023580810322,0.49155896140097094,0.4848451863975589,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8059595234457788
"Jazz",0.6466526541559364,0.5316522698349454,0.04677059933038188,0.37585991327194646,0.40884116772926327,0.1781246253755884,0.7191018079730516,0.06219528212037564,0.4643862484756393,0.4978992214148043,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8059595234457788
"Latin",0.32282171376934476,0.5925520817543306,0.041850217200657715,0.631745161864603,0.10663262121780798,0.20206269648353514,0.8118966470622644,0.08867308645527275,0.4783623584269446,0.5858855847524673,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8059595234457788
"Metal",0.03673587888719994,0.3869441006489613,0.04659356082293433,0.8621460887849532,0.2576059433836514,0.21630582551739472,0.8610707992939108,0.09814672649080272,0.5270003915388518,0.32925390098689195,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8059595234457788
"Other",0.46353626331775477,0.5451405736501113,0.041384102517239084,0.5242638481236774,0.2274424484548141,0.19588655923217707,0.7763877494860604,0.09607671120522253,0.48324929628077234,0.4957785024367976,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8059595234457788
"Pop",0.37243320054556694,0.5934615751237222,0.03797418437423813,0.5893517869593585,0.09455500771811214,0.18400029701883763,0.8208560867703993,0.06821435584235108,0.4945419455730738,0.5440117967432692,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8059595234457788
"Punk",0.11183069600587107,0.48999637404707275,0.03476491506628022,0.7962937350255719,0.1443002888296614,0.24136528515289277,0.8460584802318586,0.08885323495365702,0.5509382010048132,0.5632323808765701,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8059595234457788
"Rap/Hip hop",0.19552149362969984,0.7251684437920436,0.03743916257790647,0.648849437040265,0.043828947512729914,0.19322034051102072,0.8492457126044266,0.1825702017755486,0.49328900201038745,0.5353021789510997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8059595234457788
"Rock",0.25129509865403005,0.5281513110627135,0.04069078726669685,0.6739430871956603,0.14712309618975558,0.19770812469305682,0.8269973221304241,0.06461914422488846,0.5138244052878201,0.5425088893249399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8059595234457788
"Soul",0.3906164259523645,0.6010563131668278,0.03962833303953346,0.5462894012919429,0.06400186807901828,0.17148833322780171,0.7973574738041325,0.07118504239103597,0.4874356862728111,0.6320560767680039,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8059595234457788
