"valence","year","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","speechiness","tempo"
0.5771640086206895,0.90447579240683,0.10010180021551725,0.6291357758620686,0.040577538469181954,0.7609827586206905,0.009052774719827579,0.5817521551724142,0.8539383071560296,0.13854504310344834,0.5106531048530358
0.757023936170213,0.9095476036965475,0.5203417553191494,0.7078829787234037,0.03766130384436303,0.6249215425531918,0.009030618178191492,0.14995558510638288,0.8356047069740797,0.09568271276595741,0.504609467078975
0.2863588011283496,0.945049935176882,0.815341325811001,0.509258110014104,0.0393203544468304,0.2881123427362482,0.016999986234132566,0.13059083215796902,0.7669107294062195,0.059361354019746085,0.45259505258442556
0.45564327610872607,0.9000953743443093,0.05161737597281834,0.5237632331902727,0.04180818088296689,0.8305436337625182,0.011069785708154497,0.17465486409155923,0.8628269587447154,0.07973447782546494,0.5320473906232588
0.28665483333333347,0.9052188552188543,0.08529613838888891,0.4158616666666668,0.04001794629050858,0.6597075444444442,0.8084444444444439,0.30316666666666653,0.7375869809203139,0.06825499999999998,0.450259449534419
0.35237154195011344,0.9485673057101689,0.49143424036281197,0.6432913832199557,0.03951981485986061,0.5249047619047613,0.010888788854875282,0.13931893424036282,0.8203863238193256,0.10152936507936515,0.4720758328970821
0.28220548561151065,0.9669173751907655,0.08803512895683457,0.72749190647482,0.03741181553385772,0.6061636690647477,0.006831850539568346,0.1582554856115108,0.8365500974836765,0.12766088129496403,0.4905787501477586
0.5889738302934191,0.9564158636323662,0.1372260602696273,0.7699476605868363,0.03661850602185784,0.5961752577319588,0.003842205860428232,0.13940333068992888,0.8343787666731802,0.1769340206185565,0.497934460061589
0.23738877372262773,0.8799823047998283,0.15258215664233565,0.449826715328467,0.0455547355042074,0.5329262786861313,0.012933300072992699,0.1522182481751826,0.8153652407055912,0.054367737226277364,0.5167789507932126
0.7965737226277377,0.9222074762220841,0.09286352299270066,0.7103656934306576,0.038255945568782215,0.7912496350364981,0.009563584583941609,0.15461145985401475,0.8614561732300654,0.08953868613138682,0.5057468543823092
0.4062729687500001,0.8935448232323229,0.5831125000000001,0.54269140625,0.039630271789729256,0.49799218750000007,0.03182322828124999,0.6397734375000003,0.7885569601049249,0.12653984375,0.4594896463448689
0.7733473344103393,0.6010019418743161,0.15962596558966077,0.6305121163166392,0.0429175609047094,0.6799870759289177,0.018044258109854605,0.14969466882067864,0.7985251824452341,0.05181486268174475,0.5012426157029201
0.23217971830985917,0.9296485986626826,0.8566478873239434,0.4282140845070424,0.03680628612434596,0.22713098873239426,0.8012112676056339,0.1367683098591549,0.6158110199053534,0.0676823943661972,0.4069133391601607
0.47242255892255924,0.5269190218685164,0.6891043771043764,0.4983030303030304,0.041045677410172635,0.3503148148148152,0.017992207845117854,0.1503232323232322,0.7466630389189312,0.04427777777777778,0.49206359280402323
